description,category
AMAZON ONLINE SHOPPING,Shopping
AMAZON SHOPPING,Shopping
AMAZON PURCHASE,Shopping
AMAZON INDIA,Shopping
FLIPKART ORDER,Shopping
MYNTRA ORDER,Shopping
AJIO SHOPPING,Shopping
BIG BAZAAR GROCERY,Grocery
BIG BAZAAR,Grocery
DMART GROCERY,Grocery
RELIANCE SMART,Grocery
MORE SUPERMARKET,Grocery
GOOGLE PLAY SUBSCRIPTION,Entertainment
GOOGLE PLAY,Entertainment
PLAY STORE PURCHASE,Entertainment
YOUTUBE PREMIUM,Entertainment
SPOTIFY PREMIUM,Entertainment
NPS UPI,Investment
ZOMATO PAYMENT KOCHI,Food
MONTHLY SALARY INDIA,Salary
SPOTIFY BANGALORE,Entertainment
BOOKMYSHOW TXN,Entertainment
APOLLO PHARMACY STORE,Healthcare
CASH WITHDRAWAL UPI,Others
FLIPKART INDIA,Shopping
CHEQUE PAYMENT BANGALORE,Others
NPS,Investment
OLA CAB POS,Travel
MONTHLY SALARY INDIA,Salary
SWIGGY ORDER ONLINE,Food
HOSPITAL BANGALORE,Healthcare
CASH WITHDRAWAL UPI,Others
SHELL PETROL KOCHI,Fuel
ZOMATO PAYMENT STORE,Food
BONUS CREDIT UPI,Salary
BROADBAND BILL STORE,Bills
CHEQUE PAYMENT TXN,Others
HP PETROL INDIA,Fuel
BOOKMYSHOW ONLINE,Entertainment
NETFLIX #1234,Entertainment
MOBILE RECHARGE,Bills
DOMINOS PIZZA,Food
SUBWAY,Food
BURGER KING STORE,Food
CHEQUE PAYMENT BANGALORE,Others
RAPIDO KOCHI,Travel
MOBILE RECHARGE ONLINE,Bills
BUS TICKET UPI,Travel
MYNTRA STORE,Shopping
BANK CHARGE PAYMENT,Others
NIKE STORE PAYMENT,Shopping
OLA CAB,Travel
PIZZA HUT #1234,Food
LAB TEST KOCHI,Healthcare
JIO RECHARGE PAYMENT,Bills
MEDICAL STORE,Healthcare
PIZZA HUT KOCHI,Food
BANK CHARGE TXN,Others
BONUS CREDIT PAYMENT,Salary
DENTAL CLINIC STORE,Healthcare
DENTAL CLINIC TXN,Healthcare
PPF UPI,Investment
STARBUCKS POS,Food
JIO RECHARGE POS,Bills
LAB TEST PAYMENT,Healthcare
BROADBAND BILL,Bills
BURGER KING UPI,Food
ATM WITHDRAWAL #1234,Others
MONTHLY SALARY POS,Salary
YOUTUBE PREMIUM #1234,Entertainment
INDIAN OIL POS,Fuel
LAB TEST KOCHI,Healthcare
MONTHLY SALARY #1234,Salary
BONUS CREDIT ONLINE,Salary
AIRTEL STORE,Bills
MONTHLY SALARY #1234,Salary
LAB TEST STORE,Healthcare
HP PETROL BANGALORE,Fuel
CHEQUE PAYMENT BANGALORE,Others
RAPIDO INDIA,Travel
BONUS CREDIT ONLINE,Salary
BHARAT PETROLEUM #1234,Fuel
BURGER KING KOCHI,Food
SPOTIFY UPI,Entertainment
AMAZON PAY POS,Shopping
METRO RECHARGE TXN,Travel
HOTSTAR UPI,Entertainment
YOUTUBE PREMIUM #1234,Entertainment
BOOKMYSHOW BANGALORE,Entertainment
NPS PAYMENT,Investment
CHEQUE PAYMENT #1234,Others
YOUTUBE PREMIUM ONLINE,Entertainment
SPOTIFY PAYMENT,Entertainment
ZOMATO PAYMENT #1234,Food
CAFE COFFEE DAY BANGALORE,Food
NPS #1234,Investment
SALARY CREDIT STORE,Salary
MEDICAL STORE STORE,Healthcare
STOCK PURCHASE TXN,Investment
YOUTUBE PREMIUM STORE,Entertainment
BONUS CREDIT TXN,Salary
ATM WITHDRAWAL STORE,Others
MUTUAL FUND SIP KOCHI,Investment
RELIANCE DIGITAL ONLINE,Shopping
RELIANCE DIGITAL TXN,Shopping
AJIO ONLINE,Shopping
SALARY CREDIT BANGALORE,Salary
RELIANCE DIGITAL BANGALORE,Shopping
SPOTIFY BANGALORE,Entertainment
PPF UPI,Investment
ZOMATO PAYMENT BANGALORE,Food
MONTHLY SALARY,Salary
STOCK PURCHASE,Investment
RELIANCE DIGITAL TXN,Shopping
INDIAN OIL INDIA,Fuel
MCDONALDS #1234,Food
NETFLIX STORE,Entertainment
BHARAT PETROLEUM BANGALORE,Fuel
BUS TICKET STORE,Travel
SALARY CREDIT INDIA,Salary
LAB TEST #1234,Healthcare
PIZZA HUT UPI,Food
BONUS CREDIT STORE,Salary
SWIGGY ORDER UPI,Food
STOCK PURCHASE #1234,Investment
ATM WITHDRAWAL POS,Others
PIZZA HUT BANGALORE,Food
SWIGGY ORDER POS,Food
AMAZON PRIME #1234,Entertainment
PIZZA HUT KOCHI,Food
ATM WITHDRAWAL UPI,Others
ATM WITHDRAWAL BANGALORE,Others
MOBILE RECHARGE BANGALORE,Bills
ATM WITHDRAWAL,Others
MUTUAL FUND SIP STORE,Investment
BONUS CREDIT TXN,Salary
HOTSTAR KOCHI,Entertainment
HP PETROL BANGALORE,Fuel
BONUS CREDIT,Salary
ZERODHA,Investment
SALARY CREDIT INDIA,Salary
BONUS CREDIT PAYMENT,Salary
DENTAL CLINIC KOCHI,Healthcare
SPOTIFY #1234,Entertainment
FLIPKART KOCHI,Shopping
BOOKMYSHOW POS,Entertainment
KFC INDIA KOCHI,Food
OLA CAB POS,Travel
STOCK PURCHASE BANGALORE,Investment
MONTHLY SALARY ONLINE,Salary
MONTHLY SALARY BANGALORE,Salary
AMAZON PRIME STORE,Entertainment
ELECTRICITY BILL POS,Bills
MCDONALDS ONLINE,Food
BUS TICKET ONLINE,Travel
SALARY CREDIT PAYMENT,Salary
YOUTUBE PREMIUM PAYMENT,Entertainment
DENTAL CLINIC ONLINE,Healthcare
SPOTIFY BANGALORE,Entertainment
FLIPKART BANGALORE,Shopping
CROMA INDIA,Shopping
AJIO INDIA,Shopping
KFC INDIA TXN,Food
STOCK PURCHASE PAYMENT,Investment
MCDONALDS PAYMENT,Food
JIO RECHARGE STORE,Bills
PIZZA HUT BANGALORE,Food
NETFLIX KOCHI,Entertainment
LAB TEST #1234,Healthcare
STOCK PURCHASE #1234,Investment
RELIANCE DIGITAL,Shopping
BROADBAND BILL UPI,Bills
SWIGGY ORDER UPI,Food
MOBILE RECHARGE BANGALORE,Bills
NETFLIX,Entertainment
BANK CHARGE ONLINE,Others
NETFLIX ONLINE,Entertainment
STARBUCKS,Food
NPS,Investment
SUBWAY BANGALORE,Food
STARBUCKS ONLINE,Food
CHEQUE PAYMENT ONLINE,Others
YOUTUBE PREMIUM #1234,Entertainment
UBER TRIP BANGALORE,Travel
ZOMATO PAYMENT,Food
HOTSTAR UPI,Entertainment
BANK CHARGE ONLINE,Others
ELECTRICITY BILL BANGALORE,Bills
AMAZON PRIME BANGALORE,Entertainment
CASH WITHDRAWAL ONLINE,Others
HOTSTAR,Entertainment
SHELL PETROL POS,Fuel
MUTUAL FUND SIP INDIA,Investment
BROADBAND BILL TXN,Bills
WATER BILL #1234,Bills
NIKE STORE,Shopping
ATM WITHDRAWAL UPI,Others
FLIGHT BOOKING #1234,Travel
IRCTC ONLINE,Travel
ATM WITHDRAWAL POS,Others
SALARY CREDIT,Salary
BANK CHARGE,Others
LAB TEST BANGALORE,Healthcare
BHARAT PETROLEUM,Fuel
CASH WITHDRAWAL STORE,Others
ZOMATO PAYMENT STORE,Food
ELECTRICITY BILL INDIA,Bills
BURGER KING UPI,Food
NETFLIX KOCHI,Entertainment
KSRTC ONLINE,Travel
CASH WITHDRAWAL POS,Others
NPS STORE,Investment
BROADBAND BILL ONLINE,Bills
SPOTIFY #1234,Entertainment
AMAZON PRIME BANGALORE,Entertainment
NETFLIX UPI,Entertainment
CROMA ONLINE,Shopping
BANK CHARGE INDIA,Others
NIKE STORE KOCHI,Shopping
NPS BANGALORE,Investment
YOUTUBE PREMIUM TXN,Entertainment
BONUS CREDIT ONLINE,Salary
SUBWAY UPI,Food
PPF,Investment
AJIO PAYMENT,Shopping
BURGER KING KOCHI,Food
SALARY CREDIT BANGALORE,Salary
SHELL PETROL ONLINE,Fuel
NPS TXN,Investment
MONTHLY SALARY ONLINE,Salary
SALARY CREDIT KOCHI,Salary
ATM WITHDRAWAL STORE,Others
BHARAT PETROLEUM #1234,Fuel
PUMA UPI,Shopping
APOLLO PHARMACY UPI,Healthcare
KSRTC,Travel
